MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,status,stat_point,Station_Name,approx_distance_miles
National Postal Museum,2 MASSACHUSETTS AVENUE NE,38.89813891,-77.00818895,293217,active,POINT(-77.009888 38.897446),North Capitol St & F St NW,0.10316911936242248
National Zoo,3001 CONNECTICUT AVENUE NW,38.93061121,-77.05442859,293230,active,POINT(-77.055599 38.930282),3000 Connecticut Ave NW / National Zoo,0.06690802396563117
Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,38.89443849,-77.02238001,279889,active,POINT(-77.02324 38.894851),8th & D St NW,0.054335468595563076
Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,38.89443849,-77.02238001,279889,active,POINT(-77.01994 38.894573),6th St & Indiana Ave NW,0.13156997345713353
Newseum,555 PENNSYLVANIA AVENUE NW,38.8931248,-77.01935005,297641,active,POINT(-77.01994 38.894573),6th St & Indiana Ave NW,0.10499251576091514
O Street Museum,2020 O STREET NW,38.90838357,-77.04592519,243057,active,POINT(-77.04478 38.908905),20th & O St NW / Dupont South,0.07135226966914283
O Street Museum,2020 O STREET NW,38.90838357,-77.04592519,243057,active,POINT(-77.048728 38.909394),22nd & P ST NW,0.16611442155544273
O Street Museum,2020 O STREET NW,38.90838357,-77.04592519,243057,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,0.1442137688469386
Octagon House,1799 NEW YORK AVENUE NW,38.8963463,-77.04141591,218490,active,POINT(-77.039732336998 38.8982996492118),17th & G St NW,0.1625498282805801
Octagon House,1799 NEW YORK AVENUE NW,38.8963463,-77.04141591,218490,active,POINT(-77.0436 38.8952),19th & E Street NW,0.14168881185997007
Octagon House,1799 NEW YORK AVENUE NW,38.8963463,-77.04141591,218490,active,POINT(-77.043182 38.898412),19th & G St NW,0.17147139240521878
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,0.1422455098887376
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,active,POINT(-77.026975 38.897857),11th & F St NW,0.0860579124553147
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,0.101968695992917
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,active,POINT(-77.026064 38.895914),10th & E St NW,0.05946701698369919
Powhatan Museum,1519 MONROE STREET NW,38.93243069,-77.0355043,234557,active,POINT(-77.032956 38.931991),14th & Newton St NW,0.14032248596445335
Powhatan Museum,1519 MONROE STREET NW,38.93243069,-77.0355043,234557,active,POINT(-77.0388 38.9319),Lamont & Mt Pleasant NW,0.18092835818007694
Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,38.89913087,-77.03908805,294185,active,POINT(-77.039732336998 38.8982996492118),17th & G St NW,0.06708662833222094
Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,38.89913087,-77.03908805,294185,active,POINT(-77.041539 38.89968),18th St & Pennsylvania Ave NW,0.1371743571874811
S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,38.88855849,-77.02687494,308882,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,0.0928429137456409
S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,38.88855849,-77.02687494,308882,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,0.10490313941874557
S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,38.88855849,-77.02687494,308882,active,POINT(-77.0282417535782 38.8862769450651),USDA / 12th & C St SW,0.17397342647851619
Smithsonian American Art Museum,,38.898181,-77.022972,294248,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,0.1755758872827351
Smithsonian American Art Museum,,38.898181,-77.022972,294248,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,0.0749454241260442
Smithsonian American Art Museum,,38.898181,-77.022972,294248,active,POINT(-77.023086 38.8997),8th & H St NW,0.10515426888424323
Smithsonian Castle,1000 JEFFERSON DRIVE SW,38.88880868,-77.02598796,293187,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,0.13945941261097206
Smithsonian Castle,1000 JEFFERSON DRIVE SW,38.88880868,-77.02598796,293187,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,0.1041446033660486
