MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
National Air and Space Museum,NATIONAL AIR AND SPACE MUSEUM,38.88820497,-77.01984769,301565,POINT(-77.01984769 38.88820497),42,15,38.886266,-77.022241,14,active,POINT(-77.022241 38.886266),L'Enfant Plaza / 7th & C St SW,true,0.18582327977827862
National Air and Space Museum,NATIONAL AIR AND SPACE MUSEUM,38.88820497,-77.01984769,301565,POINT(-77.01984769 38.88820497),42,39,38.88637194054526,-77.01770067214966,29,active,POINT(-77.0177006721497 38.8863719405453),4th & C St SW,true,0.17142331310130526
National Archives,700 PENNSYLVANIA AVENUE NW,38.89284625,-77.02285696,293251,POINT(-77.02285696 38.89284625),42,15,38.894851,-77.02324,7,active,POINT(-77.02324 38.894851),8th & D St NW,true,0.1400682070957271
National Archives,700 PENNSYLVANIA AVENUE NW,38.89284625,-77.02285696,293251,POINT(-77.02285696 38.89284625),42,31,38.893028,-77.026013,15,active,POINT(-77.026013 38.893028),10th St & Constitution Ave NW,true,0.1702221785154475
National Building Museum,401 F STREET NW,38.89775511,-77.01755124,242924,POINT(-77.01755124 38.89775511),42,31,38.897222,-77.019347,5,active,POINT(-77.019347 38.897222),5th & F St NW,true,0.10337295373051736
National Building Museum,401 F STREET NW,38.89775511,-77.01755124,242924,POINT(-77.01755124 38.89775511),42,15,38.899408,-77.015289,4,active,POINT(-77.015289 38.899408),3rd & H St NW,true,0.1668900284194399
National Building Museum,401 F STREET NW,38.89775511,-77.01755124,242924,POINT(-77.01755124 38.89775511),42,15,38.895344,-77.016106,5,active,POINT(-77.016106 38.895344),4th & D St NW / Judiciary Square,true,0.18386721589479263
National Gallery of Art - East Building,,38.891206,-77.016616,293209,POINT(-77.016616 38.891206),42,31,38.890493,-77.017253,14,active,POINT(-77.017253 38.890493),4th St & Madison Dr NW,true,0.06001646169461095
National Gallery of Art - East Building,,38.891206,-77.016616,293209,POINT(-77.016616 38.891206),42,27,38.892275,-77.013917,12,active,POINT(-77.013917 38.892275),Constitution Ave & 2nd St NW/DOL,true,0.16289312929723335
National Gallery of Art - West Building,,38.891299,-77.019922,293249,POINT(-77.019922 38.891299),42,31,38.890493,-77.017253,14,active,POINT(-77.017253 38.890493),4th St & Madison Dr NW,true,0.15399217542388646
National Geographic Museum,1145 17TH STREET NW,38.90518966,-77.03815314,290192,POINT(-77.03815314 38.90518966),42,23,38.905995699991145,-77.03980207443237,9,active,POINT(-77.0398020744324 38.9059956999911),Rhode Island & Connecticut Ave NW,true,0.10472180124853467
National Geographic Museum,1145 17TH STREET NW,38.90518966,-77.03815314,290192,POINT(-77.03815314 38.90518966),42,23,38.90276,-77.03863,20,active,POINT(-77.03863 38.90276),17th & K St NW,true,0.1698566243064752
