station_id,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity,station_lat,station_lon,last_updated_date
179,Good Hope Rd & 14th St SE,10,5,0,15,38.866611,-76.985238,2020-07-22 03:48:40
180,Glebe Rd & 11th St N,0,11,0,11,38.883921,-77.116817,2020-07-22 03:48:40
181,Wilson Blvd & N Quincy St,0,15,0,15,38.880012,-77.107854,2020-07-22 03:48:40
182,GMU / Fairfax Dr & Kenmore St,7,4,0,11,38.884615999999994,-77.10108000000001,2020-07-22 03:48:40
183,Gallaudet / 8th St & Florida Ave NE,16,3,0,19,38.90509,-76.9941,2020-07-22 03:48:40
185,20th & L St NW,-1,18,0,19,38.903584,-77.044789,2020-07-22 03:48:40
186,12th & L St NW,14,5,0,19,38.903819,-77.0284,2020-07-22 03:48:40
187,21st St & Pennsylvania Ave NW,12,7,0,19,38.901539,-77.046564,2020-07-22 03:48:40
188,19th & K St NW,19,4,0,23,38.902204,-77.04337,2020-07-22 03:48:40
189,Prince St & Union St,17,2,0,19,38.803124,-77.040363,2020-07-22 03:48:40
190,Market Square / King St & Royal St,6,9,0,15,38.804718,-77.043363,2020-07-22 03:48:40
191,Saint Asaph St & Pendleton  St,10,5,0,15,38.810743,-77.044664,2020-07-22 03:48:40
192,King St & Patrick St,11,4,0,15,38.805316999999995,-77.049883,2020-07-22 03:48:40
194,Commerce St & Fayette St,0,15,0,15,38.805648,-77.05293,2020-07-22 03:48:40
195,Henry St & Pendleton St,4,13,0,17,38.811456,-77.050276,2020-07-22 03:48:40
196,Braddock Rd Metro,10,17,0,29,38.814577,-77.052808,2020-07-22 03:48:40
197,King St Metro South,12,11,0,23,38.80576284873485,-77.060626745224,2020-07-22 03:48:40
198,24th & N St NW,11,4,0,15,38.9066,-77.05152,2020-07-22 03:48:40
199,10th & E St NW,0,15,0,15,38.895914000000005,-77.026064,2020-07-22 03:48:40
200,22nd & I St NW / Foggy Bottom,3,12,0,15,38.90088,-77.048911,2020-07-22 03:48:40
201,Utah St & 11th St N,0,11,0,11,38.883669,-77.113905,2020-07-22 03:48:40
202,Barton St & 10th St N,1,10,0,11,38.884961,-77.08776999999999,2020-07-22 03:48:40
203,Arlington Blvd & N Queen St,2,7,0,11,38.889365000000005,-77.077294,2020-07-22 03:48:40
204,Lincoln Memorial,7,18,0,25,38.888251000000004,-77.049426,2020-07-22 03:48:40
206,20th St & Virginia Ave NW,8,7,0,15,38.894721999999994,-77.045128,2020-07-22 03:48:40
207,5th St & Massachusetts Ave NW,7,10,1,19,38.900929999999995,-77.018677,2020-07-22 03:48:40
208,39th & Veazey St NW,7,8,0,15,38.943837,-77.077078,2020-07-22 03:48:40
209,Fessenden St & Wisconsin Ave NW,2,13,1,15,38.954812,-77.082426,2020-07-22 03:48:40
210,3rd & M St NE,19,3,0,23,38.90546971494327,-77.0021304488182,2020-07-22 03:48:40
211,Columbia Pike & S Courthouse Rd,3,12,0,15,38.863833,-77.08031899999999,2020-07-22 03:48:40
212,Wakefield High School,0,11,0,11,38.847129045742605,-77.1125502884388,2020-07-22 03:48:40
213,28th St & S Meade St,12,3,0,15,38.846222,-77.069275,2020-07-22 03:48:40
214,18th St & Wyoming Ave NW,9,14,0,23,38.918809,-77.04157099999999,2020-07-22 03:48:40
215,5th & Kennedy St NW,0,15,0,15,38.95655554772196,-77.01981425285341,2020-07-22 03:48:40
216,Georgia Ave & Emerson St NW,3,16,2,19,38.949662,-77.027333,2020-07-22 03:48:40
217,14th & Upshur St NW,7,12,0,19,38.94247535560285,-77.0326781272888,2020-07-22 03:48:40
218,14th St & Colorado Ave NW,2,17,2,19,38.956432,-77.032947,2020-07-22 03:48:40
219,Troy St & 26th St S,9,2,0,11,38.847977,-77.07510400000001,2020-07-22 03:48:40
220,Four Mile Run Dr & S Shirlington Rd,7,4,0,11,38.8444,-77.085931,2020-07-22 03:48:40
221,Columbia Pike & S Oakland St,6,5,0,11,38.860789000000004,-77.09586,2020-07-22 03:48:40
222,Four Mile Run Dr & S Walter Reed Dr,8,1,0,11,38.847359999999995,-77.095431,2020-07-22 03:48:40
223,S Arlington Mill Dr & Campbell Ave,12,3,0,15,38.84232,-77.089555,2020-07-22 03:48:40
224,Kenmore St & 24th St S,5,6,0,11,38.848454,-77.084918,2020-07-22 03:48:40
225,13th St & Eastern Ave,2,13,0,15,38.986999999999995,-77.02941700000001,2020-07-22 03:48:40
226,Wisconsin Ave & O St NW,7,12,0,19,38.90849,-77.063586,2020-07-22 03:48:40
227,Roosevelt Island,5,7,0,13,38.896553000000004,-77.06714000000001,2020-07-22 03:48:40
228,Connecticut & Nebraska Ave NW,2,21,0,23,38.955016,-77.069956,2020-07-22 03:48:40
229,17th St & Massachusetts Ave NW,12,7,1,19,38.908142,-77.038359,2020-07-22 03:48:40
230,15th & Euclid St  NW,13,2,1,15,38.92333,-77.0352,2020-07-22 03:48:40
231,8th & East Capitol St NE,2,9,1,11,38.889988,-76.995193,2020-07-22 03:48:40
232,New Jersey Ave & R St NW,7,8,1,15,38.912659000000005,-77.017669,2020-07-22 03:48:40
233,15th & East Capitol St NE,2,9,0,11,38.889908,-76.983326,2020-07-22 03:48:40
234,8th & F St NE,6,17,0,23,38.897273999999996,-76.994749,2020-07-22 03:48:40
235,18th St & Rhode Island Ave NE,5,10,0,15,38.927095,-76.97892399999999,2020-07-22 03:48:40
236,15th & F St NE,13,6,0,19,38.897195,-76.983575,2020-07-22 03:48:40
237,12th & Irving St NE,4,11,0,15,38.928644,-76.990955,2020-07-22 03:48:40
239,Alabama & MLK Ave SE,2,9,0,11,38.84322988730829,-76.9993758201599,2020-07-22 03:48:40
240,Pleasant St & MLK Ave SE,11,0,0,11,38.863896999999994,-76.990037,2020-07-22 03:48:40
241,Neal St & Trinidad Ave NE,0,13,0,15,38.903732,-76.987211,2020-07-22 03:48:40
242,12th & U St NW,16,15,0,31,38.916787,-77.028139,2020-07-22 03:48:40
243,S George Mason & Four Mile Run Dr,10,1,0,11,38.852247999999996,-77.10502199999999,2020-07-22 03:48:40
244,Gravelly Point,13,1,0,15,38.865029,-77.039511,2020-07-22 03:48:40
245,Pershing Dr & Wayne St,1,8,0,11,38.880705,-77.08596,2020-07-22 03:48:40
246,Columbia Pike & S Orme St,4,7,0,11,38.867262,-77.072315,2020-07-22 03:48:40
247,3rd St & Pennsylvania Ave SE,1,12,0,15,38.887378000000005,-77.00195500000001,2020-07-22 03:48:40
248,8th & D St NW,10,5,1,15,38.894851,-77.02324,2020-07-22 03:48:40
249,3rd & Elm St NW,8,7,0,15,38.917621999999994,-77.01597,2020-07-22 03:48:40
250,Rhode Island Ave & V St NE,1,18,0,19,38.918155,-77.004746,2020-07-22 03:48:40
251,Constitution Ave & 2nd St NW/DOL,15,10,0,27,38.892275,-77.013917,2020-07-22 03:48:40
252,Washington & Independence Ave SW/HHS,19,12,0,31,38.886978000000006,-77.013769,2020-07-22 03:48:40
253,Independence Ave & L'Enfant Plaza SW/DOE,14,1,0,15,38.887312,-77.025762,2020-07-22 03:48:40
254,Hamlin & 7th St NE,5,10,2,15,38.927496999999995,-76.997194,2020-07-22 03:48:40
